Rank,Name,Age,End_Of_Watch,Day_Of_Week,Cause,Department,State,Tour,Badge,Weapon,Offender,Summary
Deputy Sheriff,John M. Murphy,40.0,1885-12-20,Sunday,Gunfire,"Yavapai County Sheriff's Office, Arizona",Arizona,,,Gun; Unknown type,Hanged in 1886,"Deputy Sheriff John Murphy was shot and killed in Walnut Creek by man he was questioning about the theft of a gold watch.The man had previously murdered a prospector and thought that was why Deputy Murphy was coming to question him. He saw the deputy approaching, hid, and then shot him in the back.The suspect then buried Deputy Murphy's body under his cabin and fled the area. The suspect's wife reported the murder to the county sheriff. The subject was later caught, convicted, and hanged on February 5th, 1886.Deputy Murphy was interred in Citizens Cemetery in Prescott, Arizona."
Town Marshal,James Franklin Harrington,39.0,1885-03-14,Saturday,Gunfire,"Jewel Marshal's Office, Kansas",Kansas,,,Gun; Unknown type,Shot and killed,"Town Marshal James Harrington was shot and killed while assisting the Rice County Sheriff with the capture of a horse thief.The sheriff had tracked the suspect to a home near Jewel. As the sheriff, Marshal Harrington, and two deputies surrounded the home the suspect opened fire, killing Marshal Harrington instantly. One of the deputies shot and killed the suspect.Marshal Harrington was a Civil War veteran, having served with the State of Illinois. He was survived by his wife."
Deputy U.S. Marshal,W. D. Kellett,50.0,1885-12-07,Monday,Gunfire,"United States Department of Justice - United States Marshals Service, U.S. Government",United States,"10 years, 5 months",,Rifle; .44 caliber,Sentenced to death,"Deputy Marshal W.D. Kellett was shot and killed from ambush while escorting a prisoner to jail in Walker County, Georgia.The prisoner had been arrested on an outstanding warrant related to moonshining. They were crossing Lookout Mountain to return to Summerville when Deputy Marshal Kellett was ambushed as they crossed Little River, near the Georgia - Alabama state line. He suffered a non fatal wound by a shotgun before being shot in the back with a .44 caliber rifle.An investigation determined that Deputy Marshal Kellett had been ambushed by a man whom he had arrested 10 years earlier while serving as sheriff of Chattooga County, Georgia. The father of the man named on the warrant had notified Deputy Marshal Kellett that his son would turn himself in in order to lure him to Lookout Mountain. The man seeking revenge who fired the shot that killed him was arrested, convicted of murder, and sentenced to death.Deputy Marshal Kellett had served as with the United States Marshals Service for five months and had previously served in law enforcement for at least 10 years. He was survived by his wife."
Constable,William Thomas Cody,34.0,1885-06-02,Tuesday,Gunfire,"Butler County Sheriff's Office, Kansas",Kansas,,,Gun; Unknown type,Apprehended,"Constable Cody was shot and killed in the line of duty while serving as a constable in Beaumont. A fight among railroad workers occurred on the Kansas City and Southwestern Road near the village of Beaumont during which one of the bosses, a railroad foreman, shot and wounded one of the workers. Later that evening, Constable Thomas Cody located the suspect and attempted to arrest the man who then shot and killed  Constable Cody.A $950 reward was put up for information leading to the arrest of the suspect, who was later apprehended.Constable Cody was survived by his wife."
Deputy City Marshal,"Levin P. Smith, Jr",24.0,1885-05-15,Friday,Gunfire,"Bryan Police Department, Texas",Texas,,,Unknown weapon,,"On May 14, 1885, 40 convicts escaped from a prison work camp. Sixteen of the convicts headed to Bryan to seize the powder magazine. On May 15 between 1 and 2 o'clock Bryan City Marshal A. B. Carr, deputy city marshals Levin P. Smith, Jr., and Levi Neal, and Brazos County Deputy Sheriff Robert Smith, brother of Levin, and Mr. J. P. Noll stationed themselves about one mile south of the city. The convicts were all mounted on mules and heavily armed with guns and pistols, and when brought to a halt began firing immediately. Deputy City Marshal Levin P. Smith, Jr., was fatally shot, the ball entering the right breast and lodging under the left shoulder. Smith died almost instantly. Besides the fatal shot, another took off one of his fingers and the stock of his pistol. City Marshal A. B. Carr received several shots in his clothing and two shots in his hat, but without injury. It was reported that three of the convicts were seriously wounded. Nine convicts were indicted for the murder.Smith was buried in the Wixon Cemetery in Brazos County next to his father who had died 5 weeks earlier.Related information: On December 2, 1888, Smith's brother, Robert, who was later elected as a constable, accompanied Bryan City Marshal M. M. Wilcox and Deputy City Marshal Levi Neal to serve a warrant. City Marshal Wilcox was killed. Deputy City Marshal Levi Neal was himself killed on February 24, 1900 while walking a prisoner to the city jail."
Patrolman,James North,26.0,1885-08-21,Friday,Stabbed,"New York Municipal Police Department, New York",New York,,,Edged weapon; Knife,Sentenced to life in prison,"Patrolman North was stabbed to death by a disorderly male on his post.  Patrolman North was walking on Wall Street in Manhattan at approximately 2345 hours when he observed a disorderly man who had been drinking and harassing females at the corner of Wall Street and Broadway.  The subject agreed to behave himself before he was sent on his way.  When Patrolman North turned his back and walked away, the suspect doubled back and stabbed Patrolman North in the back.A doctor who witnessed the incident attended to Patrolman North, while two other patrolmen chased and apprehended the fleeing suspect.  As the doctor was attending to Patrolman North, he spoke his last words: ""My poor wife and children.""The suspect, charged with first-degree murder, was later convicted.  He was sentenced to life in prison.Patrolman North was assigned to the 1st precinct.  He was survived by his wife and children."
Officer,William Beasley,48.0,1885-01-01,Thursday,Gunfire,"Orlando Police Department, Florida",Florida,,,Gun; Unknown type,Executed,"Officer William Beasley was shot and killed on Dec. 24 while subduing an Orlando bartender as part of an attempt to quell a riot in 1885.Officer Beasley had ordered the subject to move along on an overly crowded street but the subject resisted, obtained a pistol, and shot Officer Beasley when the lawman tried to subdue him. Officer Beasley's murderer was tried and hanged.Officer Beasley was survived by his wife and daughter. He was a Confederate Civil War Veteran who served as a private in the 1st Florida Calvary, Company D."
Patrolman,Frederick Gall,31.0,1885-08-27,Thursday,Gunfire,"Springfield Police Department, Illinois",Illinois,,20,Handgun; Revolver,Shot and killed,"Patrolman Frederick Gall and Patrolman William Camp arrested a subject for drunk and disorderly at his residence on South 6th Street, between Adams Street and Monroe Street, early Sunday morning. While awaiting bail, the offender dwelled on the arrest and blamed the arresting officers for his predicament. When the subject bailed out, he made a statement that not only was he going to kill his wife, but that he also intended to take revenge upon the arresting officers. When both officers began their foot patrol rounds at 7:00 pm, they passed in front of the offender’s residence. As the officers approached, the offender cursed them, cocked two revolvers and began firing both weapons which struck both officers. Patrolman Camp was able to return fire, killing the suspect, before he died at the scene. Patrolman Gall was transported to the hospital and succumbed to his injuries two days later."
Lieutenant,Edward B. Harding,50.0,1885-12-06,Sunday,Gunfire,"Louisville Police Department, Kentucky",Kentucky,20 years,,Handgun; Revolver,Shot and killed,"Lieutenant Edward Harding was shot and killed while investigating a disturbance at a local saloon on the corner of Ninth Street and Walnut Street (Present day Muhammad Ali Boulevard). He was making his rounds when he heard the commotion inside and entered the business to investigate. One of the men immediately produced a revolver and shot Lieutenant Harding in the shoulder.As Lieutenant Harding fell against a counter the man then shot him in the back, killing him. As the suspect fled from the saloon he shot at another policeman. The policeman returned fire, fatally striking the suspect in the head.Lieutenant Harding was a Lieutenant with the United States Army Second Kentucky Infantry during the Civil War. He had served with the Louisville Police Department for 20 years. He is survived by his wife and five children."
Marshal,Henry Auer,33.0,1885-05-23,Saturday,Gunfire,"New Straitsville Police Department, Ohio",Ohio,,,Gun; Unknown type,Lynched,"Marshal Henry Auer was shot and killed while attempting to arrest a man.The subject opened fire, striking Marshal Auer several times and an 11-year-old bystander once. The subject was taken into custody by a mob of angry citizens. He was placed in jail, but later in the evening another mob of citizens overwhelmed the jailer and forced him to hand the man over. The subject was removed from the jail and lynched.Marshal Auer is buried in Shawnee Cemetery in Shawnee, Ohio."
Constable,Benjamin M. Nalls,26.0,1885-09-24,Thursday,Gunfire,"Culpeper County Constable's Office, Virginia",Virginia,,,Handgun,Sentenced to 18 years,Constable Benjamin Nalls was shot and killed while attempting to arrest two men who were making a disturbance along Davis Street in Culpeper at approximately 10:00 pm.During the arrest Constable Nalls was shot in the back of the head. He passed away the following evening. One of the men was arrested at the scene and the other was arrested in Charlottesville several days later. The second man arrested was convicted of manslaughter and sentenced to 18 years in prison. The disposition of the other suspect is not known.
Captain,Sam Cudgo,,1885-03-29,Sunday,Gunfire,"Seminole Nation of Oklahoma Lighthorsemen Police, Tribal Police",United States,,,Gun; Unknown type,,"Captain Sam Cudgo and Captain Thomas Cloud were shot and killed near Sacred Heart Mission, Oklahoma.A posse had gone to the location to arrest a man for the murder of his brother-in-law. As the officers approached the shack the man started firing through the cracks in the walls. Captain Cudgo was shot in the abdomen and died one hour later. Captain Cloud was shot in the leg and died two days later."
Patrolman,Michael W. O'Brien,22.0,1885-11-11,Wednesday,Gunfire,"Chicago Police Department, Illinois",Illinois,11 months,389,Handgun,committed suicide,"Officer Michael O'Brien was shot and killed by a shoemaker at 195 West Adams Street. Officer O'Brien heard gunfire coming from his shop and proceeded inside to investigate.  He discovered the distraught shoemaker firing his pistol at the floor. Upon seeing the officer, he placed the gun against the officer's chest and fired killing Officer O'Brien instantly. The shoemaker then shot and killed himself.Officer Michael O'Brien served the Chicago Police Department for 11 months and was survived by his fiancée."
Sheriff,William Meredith King,41.0,1885-07-17,Friday,Gunfire,"Jack County Sheriff's Department, Texas",Texas,4 years,,Handgun,not guilty and dismissed on two suspects,"On March 13, 1884, Jack County Deputy Sheriff J.E. Richardson shot and killed a man named Caleb, Cale, Parrott. William King was the sheriff at the time Richardson killed Parrott. On Friday, July 17, 1885, William King was riding his horse on the street in front on Crutchfield's Saloon in Jacksboro. Floyd Parrott and Trammell Hickman stepped out of the saloon. Floyd Parrott drew his pistol and shot King, killing him instantly.Floyd Parrott was apparently still upset about the death of his brother, and shot King in retaliation. Sheriff King did not arrest Deputy Richardson at the time of the shooting. Richardson was later indicted and tried in Young County on a change of venue for the killing of Cale Parrott. The court records have since been lost.Floyd Parrott and Trammell Hickman were indicted for the murder of William King. In January 1886, Floyd Parrott was found not guilty by a Jack County jury. The charges against Trammell Hickman were dismissed at the request of the district attorney for lack of sufficient evidence.William M. King was elected sheriff of Jack County on November 2, 1880 and re-elected on November 7, 1882 and served until 1884 when his term of office ended. King was survived by his wife Paradine. They had eight children. William King and his wife Paradine are buried in the King Cemetery, Jack County, Texas."
Deputy Sheriff,John Hurley,,1885-01-27,Tuesday,Gunfire,"Lincoln County Sheriff's Office, New Mexico",New Mexico,,,Gun; Unknown type,Sentenced to life,"Deputy Sheriff John Hurley was shot and killed by a notorious Mexican outlaw. Nicholas Aragon, who rode with Billy the Kid, was an old time killer, his victims numbering a dozen. Aragon was trapped by Deputy Hurley and several other deputies in his hideout a few miles south of Las Vegas, New Mexico. While making a hole in his roof to smoke him out, Deputy Hurley was fired on by Aragon and killed. Aragon surrendered to the other deputies after being shot and wounded.On October 26, 1884, Aragon shot and killed Deputy Sheriff Jasper N. Corn of the Lincoln County Sheriff's Department when Deputy Corn cornered him in San Miguel County, New Mexico.Nicholas Aragon was convicted of Deputy Hurley's murder and sentenced to life in prison."
Private,Frank Sieker,,1885-05-31,Sunday,Gunfire,"Texas Rangers, Texas",Texas,,,Gun; Unknown type,Released,"Private Sieker was shot and killed after attempting to arrest horse thieves. Private Sieker and seven other Texas Rangers tracked the suspects to a creek 80 miles north of Laredo.  When the Rangers attempted to arrest the suspects, a gun battle ensued, and Private Sieker was killed.  Two of the suspects went to the Webb County Sheriff for protection.  When the Rangers arrived at the Sheriff's office, he released the suspects and arrested the Rangers."
Deputy Sheriff,Casper Albert,,1885-11-26,Thursday,Gunfire,"Cochise County Sheriff's Department, Arizona",Arizona,,,Gun; Unknown type,,Deputy Albert was shot and killed when he was ambushed by Apache Indians.
Sheriff,Edward Alexander Stevens,58.0,1885-11-07,Saturday,Gunfire,"Bexar County Sheriff's Office, Texas",Texas,25 years,,Gun; Unknown type,,"Sheriff Edward Stevens succumbed to complications from a gunshot wound sustained four years earlier, in 1881. At the time, Sheriff Stevens was a deputy and was attempting to arrest two horse thieves near Luling, Texas. The posse and the suspects became engaged in a violent gun fight and Sheriff Stevens suffered severe wounds to his left arm. The wounds were so serious that it required the amputation of the arm. An infection set in following the surgery that led to Sheriff Stevens' death.Sheriff Stevens was a veteran of the Mexican-American War and of the Confederate Army of the Civil War. He had served in law enforcement for over 25 years with the Bexar County Sheriff's Department, San Antonio Marshal's Office, and Texas Rangers. He was survived by his wife and seven children.One of Sheriff Stevens' sons, Federal Prohibition Agent Charles Stevens, was shot and killed in the line of duty on September 25th, 1929.Sheriff Stevens is buried in San Antonio City Cemetery I in San Antonio, Texas."
Deputy Marshal,John Gill,28.0,1885-02-24,Tuesday,Gunfire,"Mount Sterling Police Department, Kentucky",Kentucky,,,Gun; Unknown type,Sentenced to 21 years,"Deputy Marshal John Gill was shot and killed while assisting the another deputy marshal arrest a drunk and disorderly man.They had taken the man into custody and were taking him to jail when they were approached by the town marshal of Farmers, Kentucky. The other town marshal leveled his pistol at the officers and ordered them to release the prisoner. The officer complied and the subjects then began to head towards the depot.A posse was formed and went to the depot to recover the prisoner and take the other town marshal into custody. When the posse arrived at the depot the man opened fire, killing Deputy Marshal Gill and wounding another man before he was subdued.The Farmers town marshal had forcibly abducted a girl the previous night and she was found at the depot and returned to her father. The town marshal was sentenced to 21 years in prison for Deputy Marshal Gill's murder. In 1893 the Kentucky governor rejected a request to pardon the man.Deputy Gill was survived by his wife and three children."
Deputy U.S. Marshal,William Lee Miller,,1885-07-06,Monday,Gunfire,"United States Department of Justice - United States Marshals Service, U.S. Government",United States,,,Gun; Unknown type,,"Deputy Marshal Miller was shot and killed in the mountains near Goodlettsville, Tennessee, while searching for illegal distilleries. When he failed to return after a week a search was started for fear that he had been murdered.Prior to Deputy Marshal Miller going into the mountains he was last seen at a general store. After his murder the area around the general store was named Millersville in his honor."
Special Deputy Marshal,James Roff,,1885-05-01,Friday,Gunfire,"United States Department of Justice - United States Marshals Service, U.S. Government",United States,,,Gun; Unknown type,,"Special Deputy Marshal James Roff, Deputy Marshal Jim Guy, Special Deputy Marshal Andy Roff, and Special Deputy Marshal Bill Kirksey, were shot and killed when their posse was ambushed while attempting to arrest several horse thieves near what is present day Calico Creek, Oklahoma.Two of the suspects were shot and killed and two others were charged with murder. The two suspects who were charged were acquitted."
Patrolman,Thomas Lyons,,1885-04-14,Tuesday,Stabbed,"Newark Police Department, New Jersey",New Jersey,,,Edged weapon; Knife,Sentenced to 10 years,"Patrolman lyons died of injuries he received when he was stabbed in the abdomen.  Patrolman Lyons was standing on his post talking to a woman when he observed a man across the street strike a woman in the face.  Patrolman Lyons crossed the street, knocked the man to the ground, and returned to the woman he was talking with.He had re-engaged her in conversation, when the man whom he had struck crept stealthily up behind him in the shadow of a fence.  His companion, noticing that the man was holding a knife in his hand cautioned Patrolman Lyons and Patrolman Lyons had just turned his face to the suspect, when the man sprang upon him and stabbed him in the stomach.Patrolman Lyons was removed to St. Michaels Hospital where he remained until he died from his wounds.The 19-year-old suspect was later captured in Watertown , New York. He was convicted of manslaughter and sentenced to 10 years."
Sheriff,Thomas A. Ragsdale,45.0,1885-05-11,Monday,Gunfire,"Fannin County Sheriff's Office, Texas",Texas,5 years,,Rifle,,"Sheriff Ragsdale and Deputy Joseph Buchanan were shot and killed as they attempted to serve warrants on suspected horse thiefs. As the officers approached the house the two brothers opened fire, killing them.Sheriff Ragsdale had been with the agency for five years and was survived by his wife."
Town Marshal,Billy Wilson,,1885-11-06,Friday,Gunfire,"Rapid City Police Department, South Dakota",South Dakota,,,Gun; Unknown type,Acquitted at trial,"Town Marshal Billy Wilson was shot and killed when he attempted to disarm three cowboys who were in town.  Rapid City had an ordinance prohibiting the carrying of any weapon inside the city limits.  When Marshal Wilson attempted to disarm three cowboys inside the Horse Market Saloon, the cowboys opened fire, leaving Wilson dead and one of the cowboys wounded. All three suspects were arrested and charged with murder.  They were acquitted after a trail in which they claimed they killed Marshal Wilson in self defense.Town Marshal Wilson is buried in Evergreen Abandon, Rapid Valley, Pennington County, South Dakota."
Constable,Joseph Andrew Campion,47.0,1885-12-27,Sunday,Gunfire,"Lavaca County Constable's Office - Precinct 1, Texas",Texas,3 years,,Handgun,Acquitted,"Constable Campion was attending a Bohemian dance in Witting when he was informed that Frank Dickson had broken a beer glass with his pistol. Constable Campion approached Dickson from behind and grabbed his pistol, and said, “I want your pistol.” Dickson started punching Campion while at the same drawing his pistol and started shooting. His first shot grazing the right pocket on Campion’s pants, and the second shot struck the upper part of Campion’s thigh, shattering the bone. Constable Campion fired at Dickson as Dickson fired his third round which struck a bystander. After the shooting, Dickson held the crowd at bay, mounted his horse and fled the area. The next day doctors operated on him and he was then carried home by hand on a litter because his wounds are considered quite serious by his physicians. Campion died on December 27. Dickson was not arrested, but was later charged by indictment with the murder of Constable Campion. He was held without bond, until the Texas Court of Appeals in Galveston reversed that decision, and set bail at $5000. On February 16, 1887, the case went to trial. Dickson advised the jury that he had not known his attacker was a peace officer and that he shot in self defense. The jury agreed with him, and Dickson was acquitted of the murder. Prior to becoming an elected Constable, Campion served as a deputy sheriff. He was first elected Constable of Lavaca County Precinct 1 in 1880, in 1882 he lost the election, but was re-elected in 1884. Campion had also served in the Texas Regiment from Hallettsville, Texas during the Civil War. Constable Campion was described as a quiet, peaceable citizen and an energetic officer. He was survived by his wife and four children. He was buried in the Old Catholic Cemetery in Hallettsville, which was later re-located. His new grave site is not marked."
Deputy Constable,Charles Hoskins,,1885-09-16,Wednesday,Gunfire,"Bastrop County Constable's Office - Precinct 6, Texas",Texas,1 day,,Rifle; Winchester,Sentenced to 5 years,"Deputy Constable Charles Hoskins was shot and killed as he assisted a posse with serving a warrant on a subject.Earlier in the day the Precinct 6 constable attempted to serve the warrant on the man who had threatened to kill the owner of the land he was living on. When the constable arrived at the location the subject confronted him with a Winchester rifle and threatened to kill anyone who tried to arrest him.The constable returned to McDade and organized a posse, including Deputy Constable Hoskins. They returned to the home but as they approached the house the man opened fire, killing Deputy Constable Hoskins. The posse returned fire, wounding the subject and his wife. As the posse members attended to Deputy Constable Hoskins the subject was able to escape through the woods.He turned himself in to the county sheriff the following morning. He was subsequently convicted of manslaughter and sentenced to five years in prison. He was released from prison in 1890.Deputy Constable Hoskins was survived by his mother."
City Marshal,George W. Flatt,33.0,1885-06-19,Friday,Gunfire,"Caldwell Police Department, Kansas",Kansas,5 years,,Shotgun,,"City Marshal George Flatt was shot and killed on Main Street during an ambush at approximately 1:00 am.He is buried in an unmarked grave next to his son in Caldwell City Cemetery, Caldwell, Kansas."
Private,William M. Bohanon,29.0,1885-07-02,Thursday,Duty related illness,"Texas Rangers, Texas",Texas,"1 year, 8 months",,,,"Private William M. Bohanon enlisted in Company C of the Frontier Battalion of the Texas Rangers on November 11, 1883 under the command of Captain George Schmitt. The rangers were troubled with fever and illness during the summer of 1885, which resulted from high water caused by heavy rains. On May 13, 1885, Private J. G. Wood, a new recruit, died from illness. Captain Schmitt received a very terse letter from Captain John O. Johnson of the Adjutant General’s office in Austin regarding expenses incurred by the company while on recent duty in Fredericksburg; in his reply, which gives some indication of conditions, Schmitt related that several men were sick with fever from “exposure and swimming the rivers” and that one man was not expected to live. Private Bohanon became ill from typhoid fever on June 22 and died on July 2. He was reportedly buried in Pearsall, Frio County, and had no relations in Texas."
Police Officer,Andrew T. Peterson,45.0,1885-06-27,Saturday,Gunfire,"Wilmington Police Department, Delaware",Delaware,,,Handgun; Revolver,Pardoned in 1895,"Police Officer Peterson was shot and killed after responding to reports of a domestic disturbance. A male subject had accused his wife of infidelity after becoming drunk. The man refused to let the woman into their home and began throwing stones at her.When Officer Peterson arrived the man produced a revolver. Officer Peterson was shot in the abdomen when he stepped in front of the woman to protect her.A group of bystanders attempted to subdue the suspect, who escaped after shooting into the crowd. The man was later apprehended. He was convicted of murder and sentenced to life. In 1895 he was pardoned by Governor Robert J. Reynolds.Officer Peterson was survived by his wife and children."
Patrolman,William J. Camp,39.0,1885-08-25,Tuesday,Gunfire,"Springfield Police Department, Illinois",Illinois,,2,Handgun; Revolver,Shot and killed,"Patrolman William Camp and Patrolman Frederick Gall arrested a subject for drunk and disorderly at his residence on South 6th Street, between Adams Street and Monroe Street, early Sunday morning. While awaiting bail, the offender dwelled on the arrest and blamed the arresting officers for his predicament. When the subject bailed out, he made a statement that not only was he going to kill his wife, but that he also intended to take revenge upon the arresting officers. When both officers began their foot patrol rounds at 7:00 pm, they passed in front of the offender’s residence. As the officers approached, the offender cursed them, cocked two revolvers and began firing both weapons which struck both officers. Patrolman Camp was able to return fire, killing the suspect, before he died at the scene. Patrolman Gall was transported to the hospital and succumbed to his injuries two days later.Patrolman Camp was a Union Army veteran of the Civil War. He was survived by his wife and five children."
Deputy Sheriff,William A. Daniels,44.0,1885-06-09,Tuesday,Stabbed,"Cochise County Sheriff's Department, Arizona",Arizona,,,Edged weapon; Knife,Never apprehended,"Deputy Daniels was killed when he was ambushed by Apache Indians near Bisbee. He was riding with two companions when his horse was shot and killed. The horse fell on him pinning him to the ground. He used his rifle to defend himself but was quickly overwhelmed by the Indians who cut his throat. His companions fled back to Bisbee for help. When they got back they were unable to track the Indians.In 1883 he apprehended three of the five men who killed Deputy Sheriff Tom Smith of the Cochise County Sheriff's Department. He was survived by his wife and five young children. He was Union Civil War Veteran who served as a private with the Nebraska 2nd Calvary, Company E."
Policeman,Clarence J. Balcom,39.0,1885-08-07,Friday,Gunfire,"Hastings Police Department, Nebraska",Nebraska,,,Gun; Unknown type,,Policeman Balcom succumbed to a gunshot wound received two days earlier while attempting to arrest a juvenile jewelry thief near the Burlington Rail Yards at 0215 hours. Policeman Balcom was survived by his wife.
Captain,William B. McDaniel,47.0,1885-01-07,Wednesday,Fall,"Cedar Rapids Police Department, Iowa",Iowa,8 years,,,,Captain William McDaniel fell from a railroad bridge as he and other officers were chasing a man who had just stabbed another man to death. He died from a head injury an hour later. The suspect was apprehended.Captain McDaniel had served with the agency for eight years. He was survived by his wife and three children.
Deputy Sheriff,John Gardener,,1885-06-01,Monday,Gunfire,"Dubois County Sheriff's Department, Indiana",Indiana,1 day,,Handgun,Apprehended,"Deputy John Gardener and Deputy William Cox were shot while attempting to arrest two brothers for robbery. During the arrest the suspects opened fire, fatally wounding Deputy Gardener on the scene. Deputy Cox suffered severe wounds and remained paralyzed until his death two years later. The suspects fled the scene but were arrested six years later in Mt. Vernon, Illinois.Deputy Gardener had been deputized that day for the arrest."
Deputy City Marshal,"W.B. ""Black"" Hardeman",,1885-05-28,Thursday,Gunfire,"Colorado City Police Department, Texas",Texas,,,,,"Deputy City Marshal Black Hardeman was shot and killed while responding to a disturbance at a variety theater.  When Marshal Hardeman attempted to arrest the subject, he was shot three times in the abdomen, chest, and face. The subject was apprehended but no other details are known.Marshal Hardeman had served with the Colorado City Police Department. He was survived by his wife and children."
Officer,William L. Copeland,40.0,1885-12-31,Thursday,Assault,"Little Rock Police Department, Arkansas",Arkansas,,,Blunt object,Convicted of murder,"Officer William Copeland was killed after being assaulted by a jail trusty who was on work release. Officer Copeland was in uniform walking to work at 1900 hours when he spotted the trusty standing on the corner. With the knowledge that trusties had to be back to the jail by 6:00 pm, he began to question the man.The suspect had a special permit to be out until 10:00 pm, however, and during the questioning the man hit Officer Copeland in the head with a blunt object and fled the scene. Officer Copeland was found about two hours later and taken to a local drug store where he succumbed to his injuries shortly after midnight.The suspect was apprehended and convicted of Officer Copeland's murder.Officer Copeland was survived by his wife and three children. He was a Civil War Veteran who served as a private with the 20th Ohio Infantry, Company C."
Constable,Jacob Montgomery Howard,37.0,1885-01-29,Thursday,Gunfire,"Elliott County Constable's Office, Kentucky",Kentucky,,,Gun; Unknown type,Died of tuberculosis after apprehension,Constable Jacob Howard was shot and killed while questioning a suspected outlaw. The suspect escaped but was later captured and died of Tuberculosis.Constable Howard had previously served with the Confederate Army during the Civil War and was survived by his wife and five sons.
Private,J. G. Wood,,1885-05-13,Wednesday,Duty related illness,"Texas Rangers, Texas",Texas,2 weeks,,,,"Private J. G. Wood enlisted in Company C of the Frontier Battalion of the Texas Rangers on April 28, 1885 under the command of Captain George Schmitt. The rangers were troubled with fever and illness, which resulted from high water caused by heavy rains. Many men were sick from exposure to the weather and having to swim the rivers. After only 15 days of service, Private Wood became ill and died. Captain Schmitt received a very terse letter from Captain John O. Johnson of the Adjutant General’s office in Austin regarding expenses incurred by the company while on recent duty in Fredericksburg, including the cost to bury Private Wood. Captain Schmitt replied on June 13, 1885, which reads in part, ""I don't make any unnecessary Expence [sp] and do not allow my men to make any, and if the State can not pay any expence [sp] to live decently I will have to quit.  I am not to blame for the expence [sp] of Wood, I was not in camp when he died, he died while in the service of the State and if only one day, the State are compelled to pay the burial Expence [sp]…I stopped $16.00 all pay due him as part of payment on burial Expence [sp] and the balance to be paid by the State is only $26.05.  Lt. Grimes contracted and bought coffin and C. and it was my duty to settle it."" On June 22 a second ranger, Private William M. Bohanon, became ill with typhoid fever and died on July 2. "
Sergeant,Daniel Sheehan,56.0,1885-07-19,Sunday,Gunfire,"Joplin Police Department, Missouri",Missouri,8 years,,Gun; Unknown type,Lynched,"Sergeant Daniel Sheehan was shot and killed as he attempted to arrest a man who was wanted for selling liquor without a license.He saw the wanted man come out of the Post Office at the intersection of Second Street and Main Street. Sergeant Sheehan had been told not to arrest the man alone because the man had previously threatened to kill him. After seeing him, Sergeant Sheehan summoned the city marshal and a sheriff's deputy to the intersection to formulate a plan after the man walked into a store at the intersection.When the officers attempted to arrest the man, the subject produced a pistol and shot Sergeant Sheehan. An angry mob of citizens captured the suspect and lynched him.Sergeant Sheehan had served with the Joplin Police Department for eight years. He was survived by his wife."
Patrolman,Cornelius Barrett,34.0,1885-05-31,Sunday,Gunfire,"Chicago Police Department, Illinois",Illinois,"2 years, 10 months",63,Handgun; .44 caliber,Committed,"Patrolman Cornelius Barrett was shot and killed as he attempted to arrest a man who had taken control of a train.The suspect, who boarded the train in Kansas City, was drunk and went among passengers asking them to drink with him. When they refused he became a raving maniac, produced a pistol, and ran everyone from the car he was in. Under the idea that he was being pursued by lynchers, he shot at everyone whom he saw, seriously wounding a passenger agent.The engineer was able to get a message off of the train telling of the problem. As soon as the train reached the Polk Street Depot several officers rushed the car that the subject was in. The man jumped from the car, shot and killed Officer Barrett, and ran up 4th Street. The suspect was shot three times in the back and was critically wounded.After the subject jumped from the train a plainclothes officer was critically wounded when a citizen mistook him for the suspect and hit him in the head with a brickbat. He eventually recovered from his injury.The subject recovered from his wounds, was declared insane, and sent to the asylum in Elgin, Michigan, on July 9th, 1885.Patrolman Barrett served with the Chicago Police Department for less than three years."
Patrolman,George W. Daugherty,37.0,1885-09-22,Tuesday,Gunfire,"Evanston Police Department, Illinois",Illinois,3 years,,Shotgun,Acquitted,"Patrolman George Daugherty was shot and killed while chasing a man he erroneously suspected of being a burglar near the corner of Greenwood Street and Ridge Avenue.As a father and teenage son were going duck hunting at 2:30 am, the man was carrying a box of duck decoys that Patrolman Daugherty mistakenly took to be a box of stolen goods. He ordered the two to halt, but both subjects began to run in opposite directions.  Patrolman Daugherty took up the chase, then fired a warning shot alongside the fleeing man. The man returned fire with a shotgun, fatally wounding Patrolman Daugherty who died later that evening.The suspect was tried for murder, but after testimony from both the father and son that they had mistaken Patrolman Daugherty and his partner for robbers in the darkness, the father was acquitted.Patrolman Daugherty had served with the Evanston Police Department for three years. He was survived by his wife and six children."
Deputy U.S. Marshal,Jim Guy,,1885-05-01,Friday,Gunfire,"United States Department of Justice - United States Marshals Service, U.S. Government",United States,,,Gun; Unknown type,Shot and killed,"Deputy Marshal Jim Guy, Special Deputy Marshal Bill Kirksey, Special Deputy Marshal Andy Roff, and Special Deputy Marshal James Roff, were shot and killed when their posse was ambushed while attempting to arrest several horse thieves near what is present day Calico Creek, Oklahoma.Two of the suspects were shot and killed and two others were charged with murder. The two suspects who were charged were acquitted."
City Marshal,Kinnard Barnes,,1885-12-24,Thursday,Gunfire,"Hillsboro Police Department, Alabama",Alabama,,,Shotgun,Acquitted,"City Marshal Kinnard Barnes was shot and killed while attempting to arrest a man who had been involved in a fight.Marshal Barnes had arrested one of the men and then returned to arrest the second. When the subject saw Marshal Barnes he ran into a house and armed himself with a shotgun. As Marshal Barnes approached the man shot him in the head, killing him instantly.The subject was arrested several days later. He was tried for murder and acquitted."
